rank,player,position,teams,total_points,total_games,total_points_pre_game,field_goals,three_points_goals,free_shots,born,active_player,hall_of_fame,country,recording_year
1,LeBron James,SF/PF,"Cleveland Cavaliers (2006–2010, 2015–2018)
Miami Heat (2011–2014)
Los Angeles Lakers (2020–2021)",7631,266,28.7,2725,432,1749,1984,1,,USA,2022
2,Michael Jordan,SG/SF,"Chicago Bulls (1985–1993, 1995–1998)",5987,179,33.4,2188,148,1463,1963,0,2009,USA,2022
3,Kareem Abdul-Jabbar,C,"Milwaukee Bucks (1970–1974)
Los Angeles Lakers (1977–1989)",5762,237,24.3,2356,0,1050,1947,0,1995,USA,2022
4,Kobe Bryant,SG/SF,"Los Angeles Lakers (1997–2004, 2006–2012)",5640,220,25.6,2014,292,1320,1978-2020,0,2020,USA,2022
5,Shaquille O'Neal,C,"Orlando Magic (1994–1996)
Los Angeles Lakers (1997–2004)
Miami Heat (2005–2007)
Phoenix Suns (2008)
Cleveland Cavaliers (2010)
Boston Celtics (2011)",5250,216,24.3,2041,0,1168,1972,0,2016,USA,2022
6,Tim Duncan,PF/C,"San Antonio Spurs (1998–1999, 2001–2016)",5172,251,20.6,1975,5,1217,1976,0,2020,USA,2022
7,Karl Malone,PF,"Utah Jazz (1986–2003)
Los Angeles Lakers (2004)",4761,193,24.7,1743,6,1269,1963,0,2010,USA,2022
8,Kevin Durant,SF,"Oklahoma City Thunder (2010–2014, 2016)
Golden State Warriors (2017–2019)
Brooklyn Nets (2021–2022)",4559,155,29.4,1540,344,1135,1988,1,,USA,2022
9,Jerry West,PG/SG,"Los Angeles Lakers (1961–1970, 1972–1974)",4457,153,29.1,1622,0,1213,1938,0,1980,USA,2022
10,Tony Parker,PG,San Antonio Spurs (2002–2018),4045,226,18,1613,119,700,1982,0,,FRA,2022
11,Dwyane Wade,SG,"Miami Heat (2004–2007, 2009–2014, 2016, 2018)
Chicago Bulls (2017)",3954,177,22.3,1450,103,951,1982,0,,USA,2022
12,Larry Bird,SF/PF,"Boston Celtics (1980–1988, 1990–1992)",3897,164,23.8,1458,80,901,1956,0,1998,USA,2022
13,John Havlicek,SF/SG,"Boston Celtics (1963–1969, 1972–1977)",3776,172,22,1451,0,874,1940-2019,0,1984,USA,2022
14,Hakeem Olajuwon,C,"Houston Rockets (1985–1991, 1993–1999)
Toronto Raptors (2002)",3755,145,25.9,1504,4,743,1963,0,2008,USA,2022
15,Magic Johnson,PG,"Los Angeles Lakers (1980–1991, 1996)",3701,190,19.5,1291,51,1068,1959,0,2002,USA,2022
16,Dirk Nowitzki,PF,"Dallas Mavericks (2001–2012, 2014–2016)",3663,145,25.3,1220,149,1074,1978,0,,DEU,2022
17,Scottie Pippen,SF,"Chicago Bulls (1988–1998)
Houston Rockets (1999)
Portland Trail Blazers (2000–2003)",3642,208,17.5,1335,200,772,1965,0,2010,USA,2022
18,Elgin Baylor,SF,Minneapolis/Los Angeles Lakers (1959–1970),3623,134,27,1388,0,847,1934-2021,0,1977,USA,2022
19,Wilt Chamberlain,C,"Philadelphia/San Francisco Warriors (1960–1962, 1964)
Philadelphia 76ers (1965–1968)
Los Angeles Lakers (1969–1973)",3607,160,22.5,1425,0,757,1936-1999,0,1979,USA,2022
20,Stephen Curry,PG,"Golden State Warriors (2013–2019, 2022)",3570,134,26.6,1181,561,647,1988,1,,USA,2022
21,James Harden,SG,"Oklahoma City Thunder (2010–2012)
Houston Rockets (2013–2020)
Brooklyn Nets (2021)
Philadelphia 76ers (2022)",3414,149,22.9,1017,369,1011,1989,1,,USA,2022
22,Kevin McHale,PF,Boston Celtics (1981–1993),3182,169,18.8,1204,8,766,1957,0,1999,USA,2022
23,Paul Pierce,SF/SG,"Boston Celtics (2002–2005, 2008–2013)
Brooklyn Nets (2014)
Washington Wizards (2015)
Los Angeles Clippers (2016–2017)",3180,170,18.7,1022,276,860,1977,0,2021,USA,2022
24,Dennis Johnson,PG,"Seattle SuperSonics (1978–1980)
Phoenix Suns (1981–1983)
Boston Celtics (1984–1990)",3116,180,17.3,1167,26,756,1954-2007,0,2010,USA,2022
25,Julius Erving,SF,Philadelphia 76ers (1977–1987),3088,141,21.9,1187,7,707,1950,0,1993,USA,2022
